school_canon,respondents,avg_score
北海道天塩高等学校,13,0.9230769230769231
岩沼小学校,71,1.5211267605633803
洗足学園中学校,64,0.28125
西京高等学校,45,0.6
西京高等学校付属中学校,187,0.8502673796791443
西賀茂中学校,265,0.6452830188679245
北海道寿都高等学校,2,0.5
