grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,40,2.525,44,9.1
高校2年生,14,2.2857142857142856,15,6.7
高校3年生,4,2.75,5,20.0
中学校1年生,6,2.6666666666666665,6,0.0
中学校2年生,207,2.7246376811594204,218,5.0
中学校3年生,238,2.676470588235294,329,27.7
小学校6年生,71,3.6619718309859155,72,1.4
