grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,38,3.0,44,13.6
高校2年生,14,2.357142857142857,15,6.7
高校3年生,3,1.3333333333333333,5,40.0
中学校1年生,6,2.5,6,0.0
中学校2年生,208,2.6538461538461537,218,4.6
中学校3年生,236,2.7415254237288136,329,28.3
小学校6年生,71,3.563380281690141,72,1.4
