school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,4.5,3,33.3
北海道天塩高等学校,13,2.3076923076923075,14,7.1
岩沼小学校,70,3.5714285714285716,72,2.8
洗足学園中学校,50,2.06,65,23.1
西京高等学校,41,2.6097560975609757,47,12.8
西京高等学校付属中学校,190,2.973684210526316,198,4.0
西賀茂中学校,210,2.6952380952380954,289,27.3
北海道寿都高等学校,2,1.5,2,0.0
