grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,40,2.6,44,9.1
高校2年生,14,2.142857142857143,15,6.7
高校3年生,3,2.3333333333333335,5,40.0
中学校1年生,6,2.6666666666666665,6,0.0
中学校2年生,205,2.6146341463414635,218,6.0
中学校3年生,220,2.609090909090909,329,33.1
小学校6年生,70,3.3,72,2.8
