grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,40,3.075,44,9.1
高校2年生,14,2.2142857142857144,15,6.7
高校3年生,4,1.25,5,20.0
中学校1年生,6,2.1666666666666665,6,0.0
中学校2年生,207,2.6908212560386473,218,5.0
中学校3年生,238,2.911764705882353,329,27.7
小学校6年生,66,3.6515151515151514,72,8.3
