school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,2.5,3,33.3
北海道天塩高等学校,13,2.6923076923076925,14,7.1
岩沼小学校,71,3.859154929577465,72,1.4
洗足学園中学校,52,1.9230769230769231,65,20.0
西京高等学校,40,3.125,47,14.9
西京高等学校付属中学校,188,3.0,198,5.1
西賀茂中学校,207,2.5603864734299515,289,28.4
北海道寿都高等学校,2,1.5,2,0.0
