school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,2.5,3,33.3
北海道天塩高等学校,13,2.3846153846153846,14,7.1
岩沼小学校,71,3.704225352112676,72,1.4
洗足学園中学校,56,2.5357142857142856,65,13.8
西京高等学校,44,3.1136363636363638,47,6.4
西京高等学校付属中学校,192,3.3125,198,3.0
西賀茂中学校,215,2.683720930232558,289,25.6
北海道寿都高等学校,2,4.0,2,0.0
