grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,38,3.289473684210526,44,13.6
高校2年生,14,2.5714285714285716,15,6.7
高校3年生,4,1.25,5,20.0
中学校1年生,6,2.6666666666666665,6,0.0
中学校2年生,204,2.5588235294117645,218,6.4
中学校3年生,238,2.764705882352941,329,27.7
小学校6年生,71,3.859154929577465,72,1.4
