grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,40,3.325,44,9.1
高校2年生,14,2.2857142857142856,15,6.7
高校3年生,4,1.75,5,20.0
中学校1年生,6,2.3333333333333335,6,0.0
中学校2年生,208,2.5865384615384617,218,4.6
中学校3年生,242,3.020661157024793,329,26.4
小学校6年生,71,3.8309859154929575,72,1.4
