school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,1.0,3,33.3
北海道天塩高等学校,13,2.3076923076923075,14,7.1
岩沼小学校,66,3.6515151515151514,72,8.3
洗足学園中学校,53,2.0943396226415096,65,18.5
西京高等学校,42,2.9761904761904763,47,10.6
西京高等学校付属中学校,188,3.015957446808511,198,5.1
西賀茂中学校,209,2.7942583732057416,289,27.7
北海道寿都高等学校,2,1.5,2,0.0
