grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,42,3.2142857142857144,44,4.5
高校2年生,14,2.4285714285714284,15,6.7
高校3年生,4,2.0,5,20.0
中学校1年生,6,3.0,6,0.0
中学校2年生,211,2.691943127962085,218,3.2
中学校3年生,247,3.1295546558704452,329,24.9
小学校6年生,71,3.704225352112676,72,1.4
