school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,5.0,3,33.3
北海道天塩高等学校,13,2.5384615384615383,14,7.1
岩沼小学校,71,3.6619718309859155,72,1.4
洗足学園中学校,52,2.019230769230769,65,20.0
西京高等学校,42,2.4047619047619047,47,10.6
西京高等学校付属中学校,190,2.8789473684210525,198,4.0
西賀茂中学校,208,2.701923076923077,289,28.0
北海道寿都高等学校,2,1.5,2,0.0
