school_canon,respondents_used,avg_score,denom_total,unused_pct
北海道天塩高等学校,13,2.4615384615384617,14,7.1
岩沼小学校,71,3.563380281690141,72,1.4
洗足学園中学校,49,1.836734693877551,65,24.6
西京高等学校,40,2.925,47,14.9
西京高等学校付属中学校,190,2.9263157894736844,198,4.0
西賀茂中学校,210,2.6952380952380954,289,27.3
北海道寿都高等学校,2,1.5,2,0.0
