grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,39,2.7435897435897436,44,11.4
高校2年生,14,2.2142857142857144,15,6.7
高校3年生,4,2.25,5,20.0
中学校1年生,6,2.5,6,0.0
中学校2年生,207,2.685990338164251,218,5.0
中学校3年生,238,2.7941176470588234,329,27.7
小学校6年生,70,3.5714285714285716,72,2.8
