grade_canon,respondents_used,avg_score,denom_total,unused_pct
高校1年生,40,3.5,44,9.1
高校2年生,14,2.7857142857142856,15,6.7
高校3年生,4,2.0,5,20.0
中学校1年生,6,3.0,6,0.0
中学校2年生,209,2.650717703349282,218,4.1
中学校3年生,243,3.1275720164609053,329,26.1
小学校6年生,71,3.7464788732394365,72,1.4
