school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,4.5,3,33.3
北海道天塩高等学校,13,3.4615384615384617,14,7.1
岩沼小学校,72,4.055555555555555,72,0.0
洗足学園中学校,57,2.8947368421052633,65,12.3
西京高等学校,43,3.7209302325581395,47,8.5
西京高等学校付属中学校,190,3.7263157894736842,198,4.0
西賀茂中学校,211,3.052132701421801,289,27.0
北海道寿都高等学校,2,4.0,2,0.0
