school_canon,respondents_used,avg_score,denom_total,unused_pct
不明,2,4.0,3,33.3
北海道天塩高等学校,12,2.3333333333333335,14,14.3
岩沼小学校,70,3.3,72,2.8
洗足学園中学校,43,1.9767441860465116,65,33.8
西京高等学校,42,2.4761904761904763,47,10.6
西京高等学校付属中学校,182,2.78021978021978,198,8.1
西賀茂中学校,205,2.6,289,29.1
北海道寿都高等学校,2,1.5,2,0.0
