学年_canon,respondents,avg_score
小6,71,1.5211267605633803
中1,6,1.0
高2,13,0.9230769230769231
中2,207,0.7632850241545893
高1,43,0.6744186046511628
中3,305,0.6032786885245902
高3,3,0.3333333333333333
