school_canon,respondents,avg_score
不明,2,2.0
北海道天塩高等学校,13,1.0
岩沼小学校,71,1.6338028169014085
洗足学園中学校,64,0.328125
西京高等学校,44,0.6818181818181818
西京高等学校付属中学校,188,0.8617021276595744
西賀茂中学校,264,0.6742424242424242
北海道寿都高等学校,2,0.5
