学年_canon,respondents,avg_months,avg_freq
高1,43,21.023255813953487,2.6818181818181817
中3,310,14.058064516129033,1.9908536585365855
中2,212,11.0,2.444954128440367
高3,5,10.8,1.8
中1,6,8.0,3.1666666666666665
小6,71,5.915492957746479,2.0555555555555554
高2,15,4.2,1.4666666666666666
