school_canon,Top2(%),n
西京高等学校付属中学校,37.5,8
洗足学園高等学校,50.0,4
不明,33.3,3
洗足学園中学校,33.3,3
西賀茂中学校,100.0,3
岩沼小学校,100.0,1
明徳小学校,0.0,1
