school_canon,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,使っていない,n
西京高等学校付属中学校,12.5,25.0,25.0,12.5,25.0,8
洗足学園高等学校,0.0,50.0,25.0,25.0,0.0,4
洗足学園中学校,0.0,66.66666666666666,0.0,33.33333333333333,0.0,3
西賀茂中学校,0.0,100.0,0.0,0.0,0.0,3
不明,50.0,50.0,0.0,0.0,0.0,2
岩沼小学校,100.0,0.0,0.0,0.0,0.0,1
明徳小学校,0.0,0.0,100.0,0.0,0.0,1
