school_canon,Top2(%),n
西京高等学校付属中学校,62.5,8
洗足学園高等学校,25.0,4
西賀茂中学校,66.7,3
洗足学園中学校,66.7,3
不明,50.0,2
岩沼小学校,100.0,1
明徳小学校,100.0,1
