grade_canon,respondents,avg_hours,median_hours
中1,6,3.5416666666666665,2.0
中2,218,4.209174311926605,2.25
中3,327,5.673394495412844,3.0
小6,67,5.965671641791045,5.0
高1,44,4.761363636363637,4.0
高2,15,3.0,2.0
高3,5,2.8,1.0
