grade_canon,respondents,avg_hours,median_hours
中1,6,4.083333333333333,2.5
中2,216,4.029166666666667,2.0
中3,326,5.22239263803681,2.0
小6,69,4.276811594202899,2.0
高1,44,4.738636363636363,2.0
高2,15,4.833333333333333,2.0
高3,5,6.8,6.0
