grade_canon,respondents,avg_hours,median_hours
中1,6,1.3333333333333333,1.0
中2,218,3.293119266055046,2.0
中3,326,4.270245398773006,2.0
小6,70,5.687142857142858,3.0
高1,44,3.8863636363636362,3.0
高2,15,2.4,2.0
高3,5,6.0,2.0
