school_canon,respondents,avg_hours,median_hours
不明,2,3.5,3.5
北海道天塩高等学校,14,6.392857142857143,2.0
岩沼小学校,69,4.276811594202899,2.0
洗足学園中学校,63,2.2301587301587302,0.0
西京高等学校,47,4.351063829787234,2.0
西京高等学校付属中学校,198,4.558080808080808,3.0
西賀茂中学校,286,5.46958041958042,2.0
北海道寿都高等学校,2,2.0,2.0
