choice,中1,中2,中3,小6,高1,高2,高3
最近はあまり使わない,0.0,0.0,0.0,0.0,1.0,0.0,0.0
テスト結果集計,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ワードクラウド,0.0,2.0,2.0,0.0,4.0,0.0,0.0
クイズ集計,0.0,8.0,7.0,0.0,6.0,0.0,0.0
AIエージェント(AI先生・Tammy等),1.0,13.0,6.0,0.0,4.0,0.0,0.0
閲覧(えつらん)時間集計,0.0,12.0,26.0,0.0,4.0,0.0,0.0
メモ分析(ぶんせき),0.0,15.0,21.0,4.0,3.0,1.0,0.0
理解度チェックダッシュボード,3.0,37.0,43.0,0.0,1.0,0.0,0.0
AI推薦(すいせん),4.0,129.0,25.0,0.0,3.0,0.0,0.0
マーカー分析(ぶんせき),1.0,19.0,88.0,69.0,16.0,1.0,1.0
ほとんど使ったことがない,0.0,55.0,186.0,1.0,21.0,14.0,4.0
