choice,中1,中2,中3,小6,高1,高2,高3
美術,0.0,2.0,0.0,0.0,0.0,0.0,0.0
その他,0.0,0.0,3.0,0.0,0.0,0.0,0.0
未使用,0.0,1.0,18.0,0.0,0.0,0.0,0.0
社会,0.0,4.0,15.0,0.0,1.0,0.0,1.0
国語,0.0,11.0,37.0,69.0,1.0,0.0,0.0
外国語,4.0,51.0,84.0,1.0,38.0,3.0,1.0
理科,0.0,19.0,138.0,72.0,0.0,0.0,0.0
算数・数学,6.0,217.0,173.0,0.0,20.0,12.0,4.0
