school_canon,respondents,avg_hours,median_hours
不明,3,1.6666666666666667,2.0
岩沼小学校,1,0.5,0.5
明徳小学校,1,4.0,4.0
洗足学園中学校,3,1.6666666666666667,2.0
洗足学園高等学校,4,4.25,2.5
西京高等学校付属中学校,8,1.375,1.0
西賀茂中学校,3,0.6666666666666666,0.0
