school_canon,頻繁に使用している,使用することがある,あまり使用しない,全く使用しない,当該機能を知らない,n_answered
不明,100.0,0.0,0.0,0.0,0.0,2
岩沼小学校,0.0,100.0,0.0,0.0,0.0,1
明徳小学校,0.0,100.0,0.0,0.0,0.0,1
洗足学園中学校,0.0,33.3,66.7,0.0,0.0,3
洗足学園高等学校,0.0,0.0,50.0,50.0,0.0,4
西京高等学校付属中学校,25.0,12.5,12.5,50.0,0.0,8
西賀茂中学校,0.0,66.7,0.0,0.0,33.3,3
