school_canon,ほぼ毎時間,1週間に数回程度,1ヶ月に数回程度,ほとんど使用していない,n
不明,66.66666666666666,33.33333333333333,0.0,0.0,3
岩沼小学校,0.0,0.0,100.0,0.0,1
明徳小学校,0.0,100.0,0.0,0.0,1
洗足学園中学校,0.0,33.33333333333333,33.33333333333333,33.33333333333333,3
洗足学園高等学校,0.0,25.0,50.0,25.0,4
西京高等学校付属中学校,37.5,12.5,37.5,12.5,8
西賀茂中学校,0.0,66.66666666666666,33.33333333333333,0.0,3
