school_canon,閲覧時間集計,マーカー分析,メモ分析,クイズ集計,ワードクラウド,ペンストローク分析,グループ編成,AI推薦,理解度チェックダッシュボード,AIエージェント（AI先生・Tammy等）,ほとんど使ったことがない,その他,n_answered
西京高等学校付属中学校,12.5,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,50.0,0.0,8
洗足学園高等学校,50.0,100.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
洗足学園中学校,100.0,100.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
西賀茂中学校,33.3,66.7,0.0,66.7,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,3
不明,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,2
岩沼小学校,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
明徳小学校,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
