_canon,_raw,count
岩沼小学校,岩沼市立岩沼小学校,1
明徳小学校,京都市立明徳小学校,1
未記入,未記入,3
松井ゆかり,松井ゆかり,1
洗足学園中学校,洗足学園中学高等学校,3
洗足学園中学校,私立洗足学園中学高等学校,2
洗足学園中学校,洗足学園中学校,1
洗足学園中学校,私立洗足学園中学校,1
西京高等学校附属中学校,京都市立西京高等学校附属中学校,6
西京高等学校附属中学校,京都市立西京附属中学校,1
西京高等学校附属中学校,京都市立西京高校附属中学校,1
西賀茂中学校,京都市立西賀茂中学校,3
