school_canon,respondents,avg_hours,median_hours
不明,3,2.0,2.0
岩沼小学校,1,2.5,2.5
明徳小学校,1,1.0,1.0
洗足学園中学校,3,6.666666666666667,8.0
洗足学園高等学校,4,4.0,2.5
西京高等学校付属中学校,8,3.375,3.5
西賀茂中学校,3,5.0,3.0
