school_canon,respondents,avg_hours,median_hours
不明,3,2.0,2.0
岩沼小学校,1,10.0,10.0
明徳小学校,1,10.0,10.0
洗足学園中学校,3,15.0,15.0
洗足学園高等学校,4,11.25,12.0
西京高等学校付属中学校,8,14.625,6.5
西賀茂中学校,3,14.333333333333334,10.0
