school_canon,respondents,avg_hours,median_hours
不明,3,13.333333333333334,3.0
岩沼小学校,1,1.0,1.0
明徳小学校,1,5.0,5.0
洗足学園中学校,3,2.6666666666666665,3.0
洗足学園高等学校,4,2.0,2.0
西京高等学校付属中学校,8,2.625,2.0
西賀茂中学校,3,0.6666666666666666,1.0
