school_canon,respondents,avg_hours,median_hours
不明,3,1.3333333333333333,1.0
岩沼小学校,1,1.0,1.0
明徳小学校,1,5.0,5.0
洗足学園中学校,3,3.0,3.0
洗足学園高等学校,4,1.0,1.0
西京高等学校付属中学校,8,2.125,2.0
西賀茂中学校,3,1.3333333333333333,1.0
