school_canon,respondents,avg_score
不明,2,1.5
北海道天塩高等学校,13,1.1538461538461537
岩沼小学校,71,1.591549295774648
洗足学園中学校,65,0.46153846153846156
西京高等学校,44,0.8181818181818182
西京高等学校付属中学校,194,1.2577319587628866
西賀茂中学校,269,0.8736059479553904
北海道寿都高等学校,2,0.5
