学年_canon,respondents,avg_score
小6,72,1.7916666666666667
中1,6,2.0
中2,214,1.8037383177570094
中3,310,1.3548387096774193
高1,43,2.13953488372093
高2,13,1.3846153846153846
高3,4,1.75
