school_canon,respondents,avg_score
不明,2,2.5
北海道天塩高等学校,13,1.4615384615384615
岩沼小学校,72,1.7916666666666667
洗足学園中学校,65,1.2769230769230768
西京高等学校,45,2.088888888888889
西京高等学校付属中学校,196,2.489795918367347
西賀茂中学校,267,0.9138576779026217
北海道寿都高等学校,2,1.0
