school_canon,国語,社会,算数・数学,理科,外国語,その他,n
不明,33.3,33.3,66.7,0.0,33.3,0.0,3
明徳小学校,100.0,0.0,0.0,0.0,0.0,0.0,1
岩沼小学校,100.0,0.0,0.0,100.0,0.0,0.0,1
洗足学園中学校,33.3,0.0,33.3,0.0,33.3,0.0,3
西賀茂中学校,0.0,0.0,66.7,66.7,0.0,0.0,3
洗足学園高等学校,25.0,0.0,25.0,50.0,0.0,0.0,4
西京高等学校付属中学校,25.0,0.0,25.0,25.0,12.5,12.5,8
