,メモ,マーカー,手書き,クイズ,URLリコメンド,辞書,タイマー,その他,ほとんど使ったことがない,n
不明,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,2
洗足学園中学校,100.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,2
西賀茂中学校,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2
洗足学園高等学校,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
西京高等学校付属中学校,42.9,0.0,28.6,14.3,0.0,0.0,0.0,28.6,14.3,7
