,何かしら利用,ほとんど使ったことがない,n
不明,100.0,0.0,2
明徳小学校,100.0,0.0,1
岩沼小学校,100.0,0.0,1
洗足学園中学校,100.0,0.0,3
西賀茂中学校,100.0,0.0,3
洗足学園高等学校,100.0,0.0,4
西京高等学校付属中学校,87.5,12.5,8
