school,メモ,マーカー,手書き,クイズ,URLリコメンド,辞書,タイマー,その他
不明,0,0,0,1,2,0,0,0
明徳小学校,0,1,0,0,0,0,0,0
岩沼小学校,0,1,0,0,0,0,0,0
洗足学園中学校,2,3,0,2,1,0,0,0
西賀茂中学校,0,2,0,2,0,0,0,0
洗足学園高等学校,0,4,0,1,0,0,0,0
西京高等学校付属中学校,3,3,2,1,0,0,0,2
