school_canon,ほぼ毎時間,1週間に数回程度,1ヶ月に数回程度,ほとんど使用していない,n
不明,33.3,33.3,33.3,0.0,3
明徳小学校,100.0,0.0,0.0,0.0,1
岩沼小学校,0.0,0.0,100.0,0.0,1
洗足学園中学校,33.3,33.3,33.3,0.0,3
西賀茂中学校,33.3,66.7,0.0,0.0,3
洗足学園高等学校,25.0,25.0,50.0,0.0,4
西京高等学校付属中学校,87.5,0.0,0.0,12.5,8
