,メモ,マーカー,手書き,クイズ,URLリコメンド,辞書,タイマー,その他
不明（n=1）,0.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0
明徳小学校（n=1）,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
岩沼小学校（n=1）,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
洗足学園中学校（n=1）,200.0,300.0,0.0,200.0,100.0,0.0,0.0,0.0
西賀茂中学校（n=1）,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0
洗足学園高等学校（n=1）,0.0,400.0,0.0,100.0,0.0,0.0,0.0,0.0
西京高等学校付属中学校（n=1）,300.0,300.0,200.0,100.0,0.0,0.0,0.0,200.0
