school_canon,respondents,avg_prof
不明,2,2.5
北海道天塩高等学校,14,2.0714285714285716
岩沼小学校,72,2.888888888888889
洗足学園中学校,65,2.0923076923076924
西京高等学校,47,2.574468085106383
西京高等学校付属中学校,198,2.6717171717171717
西賀茂中学校,289,2.01038062283737
北海道寿都高等学校,2,3.0
