学校種,閲覧時間集計,マーカー分析,メモ分析,クイズ集計,ワードクラウド,ペンストローク分析,グループ編成,AI推薦,理解度チェックダッシュボード,AIエージェント（AI先生・Tammy等）,ほとんど使ったことがない,その他,n_answered
中,33.3,46.7,20.0,26.7,0.0,20.0,0.0,6.7,33.3,0.0,26.7,0.0,15
小,66.7,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
高,50.0,100.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
