学校種,メモ,マーカー,手書き,クイズ,URLリコメンド,辞書,タイマー,ほとんど使ったことがない,その他,n_answered
中,33.3,53.3,13.3,33.3,13.3,0.0,0.0,6.7,13.3,15
小,0.0,66.7,0.0,33.3,33.3,0.0,0.0,0.0,0.0,3
高,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4
