学校種,国語,社会,算数・数学,理科,外国語,その他,n_answered
中,33.3,0.0,40.0,26.7,0.0,6.7,15
小,100.0,0.0,0.0,33.3,0.0,0.0,3
高,20.0,20.0,40.0,40.0,0.0,0.0,5
