,そう思わない,あまりそう思わない,どちらともいえない,ややそう思う,そう思う,mean,n
中3,,,,,,,0
高3,,,,,,,0
中2,,,,,,,0
高1,,,,,,,0
小6,,,,,,,0
高2,,,,,,,0
中1,,,,,,,0
